wordId, fileId, frequency, positions
40811,15850,601,"5,9,25,37,40,130,140,380,417,442,478,530,562,579,611,615,625,649,654,668,675,689,711,716,727,748,751,766,771,809,905,950,995,1020,1026,1043,1049,1067,1078,1082,1097,1109,1115,1133,1148,1154,1172,1199,1210,1241,1271,1307,1319,1336,1358,1369,1393,1404,1416,1422,1443,1456,1482,1487,1508,1519,1544,1559,1573,1595,1616,1624,1643,1668,1679,1692,1698,1717,1750,1817,1827,1843,1849,1853,1857,1881,1885,1901,1907,1922,1948,1990,2030,2036,2079,2086,2120,2127,2161,2230,2241,2256,2286,2294,2309,2331,2342,2366,2369,2388,2391,2416,2454,2519,2523,2539,2573,2581,2598,2612,2619,2633,2679,2701,2719,2727,2756,2778,2793,2839,2865,2876,2943,2966,2984,3067,3080,3148,3174,3192,3198,3204,3297,3350,3390,3418,3428,3454,3476,3506,3590,3608,3639,3649,3687,3747,3771,3791,3822,3860,3869,3901,4138,4153,4172,4179,4188,4195,4218,4257,4282,4313,4388,4468,4477,4589,4611,4694,4762,4831,4892,4963,5024,5082,5087,5127,5144,5155,5189,5216,5320,5375,5381,5432,5454,5617,5637,5755,5783,5794,5805,5835,5900,5907,5923,5927,5989,5994,6019,6025,6029,6058,6062,6073,6113,6118,6137,6184,6298,6385,6489,6522,6576,6600,6702,6809,6990,7010,7031,7091,7093,7131,7168,7252,7265,7293,7322,7336,7341,7374,7388,7423,7449,7465,7488,7556,7559,7570,7579,7681,7731,7764,7831,7869,7924,7969,7991,8006,8011,8035,8101,8134,8154,8246,8266,8321,8363,8408,8423,8561,8591,8606,8651,8667,8673,8684,8753,8760,8822,8855,8895,8940,8950,8964,8973,9085,9094,9223,9229,9237,9354,9367,9402,9422,9427,9445,9452,9464,9482,9511,9529,9570,9581,9590,9596,9623,9628,9632,9642,9674,9686,9711,9725,9730,9732,9753,9769,9778,9799,9818,9868,9874,9893,9927,9968,10204,10368,10391,10408,10433,10476,10497,10534,10579,10590,10598,10614,10656,10680,10698,10722,10791,10798,10823,10870,10895,10922,10930,10969,11007,11039,11043,11057,11102,11113,11164,11200,11260,11306,11314,11324,11338,11350,11623,11708,11767,11887,11947,11999,12022,12066,12077,12126,12137,12193,12206,12237,12248,12328,12378,12489,12580,12590,12610,12622,12632,12640,12651,12662,12679,12691,12752,12777,12786,12805,12826,12840,12858,12867,12870,12887,12900,12904,12942,12965,12974,12998,13017,13021,13036,13049,13057,13071,13094,13116,13126,13179,13182,13207,13226,13233,13252,13269,13280,13288,13301,13335,13338,13378,13572,13681,13687,13724,13811,13823,13839,13859,13881,13904,13912,13935,13952,13957,13990,14098,14109,14144,14156,14167,14174,14192,14206,14246,14303,14323,14338,14352,14364,14394,14404,14412,14432,14452,14463,14468,14477,14499,14510,14529,14543,14568,14589,14611,14620,14625,14634,14654,14663,14683,14728,14751,14763,14771,14794,14806,14817,14836,14868,14891,14901,14937,14942,14951,14963,14981,14990,15012,15024,15038,15051,15080,15095,15100,15128,15133,15163,15171,15180,15193,15208,15244,15250,15263,15284,15302,15319,15337,15346,15364,15395,15399,15422,15429,15440,15449,15457,15470,15473,15482,15513,15523,15533,15645,15690,15696,15726,15739,15770,15787,15797,15829,15843,15872,15882,15904,15935,15943,15964,15986,15992,16010,16022,16037,16065,16083,16097,16105,16126,16142,16153,16183,16200,16208,16220,16223,16248,16259,16286,16298,16333,16349,16363,16408,16424,16440,16460,16501,16520,16544,16586,16598,16605,16614,16625,16637,16687,16690,16693,16695,16717,16726,16749,16767,16774,16777,16800,16809,16815,16949,16965,16969"
40811,15100,9,"6732,6733,6755,6799,6955,6958,7015,7021,7043"
40811,15192,6,"505,508,1954,1960,2002,2718"
40811,19985,4,"6955,10309,10449,10451"
40811,15197,4,"7424,8223,10384,10397"
40811,22328,3,"6440,6451,6554"
40811,8773,3,"9896,9908,10645"
40811,24009,3,"2558,2564,2585"
40811,21409,2,"1072,1121"
40811,5579,2,"3115,3118"
40811,14268,2,"6996,7331"
40811,17858,2,"4989,5063"
40811,10976,2,"12383,12386"
40811,12038,2,"772,1233"
40811,26493,2,"13924,13945"
40811,653,2,"722,727"
40811,15193,2,"9192,9195"
40811,22262,2,"1987,1996"
40811,3864,2,"1175,1194"
40811,15189,2,"13992,14029"
40811,20768,1,938
40811,19636,1,3025
40811,22264,1,669
40811,19637,1,2652
40811,17629,1,7478
40811,5467,1,1052
40811,20791,1,1509
40811,15196,1,5168
40811,6085,1,2342
40811,1167,1,1399
40811,6960,1,474
40811,1998,1,7119
40811,185,1,8906
40811,1317,1,1095
40811,14646,1,751
40811,3831,1,10718
40811,22281,1,6757
40811,10060,1,3282
40811,14374,1,5735
40811,18359,1,4012
