wordId, fileId, frequency, positions
24496,15398,407,"11,13,15,27,34,50,62,92,108,111,122,130,153,180,195,196,205,213,218,223,230,232,250,261,272,280,287,294,306,320,322,323,347,367,403,431,482,500,501,514,521,547,561,577,593,604,635,685,687,690,692,706,708,716,727,731,737,744,796,827,835,836,851,867,883,889,891,905,909,919,923,935,943,950,1000,1008,1075,1092,1106,1135,1146,1154,1160,1166,1210,1216,1217,1219,1220,1224,1228,1266,1332,1351,1358,1369,1387,1421,1432,1456,1481,1498,1500,1502,1509,1519,1565,1582,1596,1602,1604,1608,1619,1662,1671,1693,1703,1706,1734,1743,1762,1811,1838,1841,1846,1858,1897,1899,1903,1904,1910,1918,1930,1940,1951,1984,1991,2010,2030,2036,2041,2046,2048,2054,2071,2078,2111,2116,2127,2135,2151,2161,2163,2165,2167,2172,2180,2185,2205,2215,2218,2221,2224,2227,2249,2256,2259,2324,2342,2343,2364,2397,2407,2423,2434,2442,2483,2485,2491,2503,2511,2512,2523,2534,2545,2556,2564,2575,2593,2624,2690,2693,2705,2723,2730,2733,2744,2773,2778,2823,2834,2850,2869,2873,2889,2898,2900,2904,2926,2936,2951,2953,2962,2964,2989,3010,3015,3023,3051,3060,3072,3081,3086,3095,3187,3308,3312,3320,3324,3351,3362,3363,3366,3371,3398,3401,3412,3417,3418,3436,3442,3448,3452,3459,3464,3476,3494,3518,3530,3538,3541,3546,3550,3556,3560,3561,3578,3580,3584,3591,3595,3609,3632,3654,3681,3699,3712,3722,3732,3745,3750,3753,3761,3791,3799,3804,3809,3815,3816,3830,3843,3850,3860,3878,3902,3916,3934,3943,3963,3969,3978,3983,3988,3994,4006,4014,4016,4037,4046,4067,4074,4078,4086,4093,4115,4159,4161,4166,4176,4195,4211,4215,4232,4272,4289,4299,4303,4353,4369,4371,4372,4394,4401,4425,4504,4602,4604,4662,4664,4674,4683,4692,4698,4706,4748,4760,4798,4830,4832,4837,4844,4847,5053,5078,5104,5174,5212,5284,5325,5344,5353,5357,5399,5418,5421,5422,5464,5481,5506,5596,5692,5697,5741,5757,5770,5791,5815,5816,5858,5879,5880,5884,6004,6031,6034,6037,6056,6081,6115,6126,6189,6248,6258,6287,6325,6330,6371,6432,6466,6580,6643,6645,6656,6659,6671,6683,6705,6752,6766,6780,6794,6796,6812,6814,6825,6827,6835"
24496,8127,247,"7,14,49,68,82,89,93,107,192,214,251,252,263,281,312,318,322,335,338,366,479,483,492,634,674,688,761,786,788,804,825,839,897,921,956,960,967,974,1009,1092,1121,1150,1202,1253,1287,1302,1568,1601,1642,1667,1726,1732,1765,1817,1864,2202,2218,2234,2355,2383,2448,2487,2528,2547,2569,2572,2603,2625,2765,2768,2805,2812,2867,2940,2947,3000,3028,3040,3056,3059,3060,3065,3067,3070,3227,3273,3287,3288,3294,3322,3333,3352,3396,3461,3474,3481,3495,3496,3497,3530,3536,3550,3567,3604,3618,3620,3623,3626,3630,3633,3641,3732,3739,3743,3750,3757,3766,3772,3774,3776,3787,3791,3814,3820,3830,3847,3867,3873,3877,3881,3889,3903,3906,3978,4013,4023,4071,4111,4116,4177,4197,4212,4218,4247,4252,4282,4292,4296,4306,4310,4316,4388,4397,4412,4417,4442,4457,4487,4512,4554,4555,4557,4585,4590,4617,4632,4635,4644,4664,4699,4702,4737,4741,4745,4770,4771,4788,4818,4820,4844,4864,4876,4892,4929,4934,4949,4956,5032,5037,5042,5044,5049,5081,5142,5159,5164,5177,5198,5205,5215,5241,5245,5248,5260,5298,5362,5498,5517,5522,5526,5529,5534,5559,5562,5566,5579,5608,5612,5645,5687,5695,5751,5761,5786,5800,5815,5831,5843,5853,5981,6209,6236,6286,6345,6409,6413,6480,6501,6522,6541,6553,6598,6616,6636,6640,6648,6653"
24496,20993,190,"3,36,44,99,108,115,118,131,132,134,163,180,187,191,236,289,293,402,454,506,525,587,601,611,645,657,667,710,716,789,821,836,872,877,898,911,1086,1094,1130,1186,1440,1473,1908,1960,2055,2168,2210,2236,2316,2320,2328,2399,2413,2416,2441,2599,2607,2610,2612,2613,2673,2710,2721,2724,2742,2776,2828,2834,2888,2953,2967,2977,3006,3009,3022,3036,3058,3063,3093,3139,3162,3284,3316,3321,3394,3398,3405,3616,3621,3644,3647,3670,3733,3768,3789,3925,4002,4020,4061,4069,4127,4132,4155,4172,4195,4278,4325,4346,4380,4536,4539,4568,4601,4734,4847,4931,4937,4988,5024,5037,5327,5462,5545,5648,5653,5696,5723,5736,5759,5792,5854,5887,5904,5938,6057,6099,6121,6194,6334,6353,6370,6415,6416,6442,6448,6457,6472,6477,6493,6509,6533,6556,6575,6606,6616,6647,6656,6659,6676,6690,6692,6717,6813,6874,6882,6884,6905,6913,6935,6958,6963,7028,7035,7053,7098,7218,7226,7229,7234,7290,7292,7296,7330,7348,7382,7386,7488,7561,7572,7578"
24496,14984,159,"5,116,119,126,157,160,171,227,247,344,361,378,443,488,549,629,644,650,787,794,796,919,1072,1077,1082,1094,1103,1106,1173,1205,1235,1269,1308,1388,1478,1498,1548,1554,1569,1572,1611,1655,1658,1679,1683,1689,1739,1773,1825,1854,1865,1890,1969,1996,2020,2041,2047,2075,2136,2196,2240,2243,2446,2507,2573,2688,3013,3050,3079,3242,3377,3511,3516,3551,3580,3604,3615,3624,3656,3684,3742,3746,3747,3785,4005,4138,4146,4154,4191,4195,4651,4673,4696,4702,4704,4742,4800,4896,4937,4942,4950,4965,5001,5044,5207,5208,5246,5311,5319,5332,5356,5363,5369,5377,5389,5448,5462,5473,5475,5485,5486,5497,5514,5537,5554,5597,5618,5625,5634,5691,5716,5920,5981,6053,6196,6216,6222,6236,6252,6255,6294,6319,6333,6334,6335,6410,6415,6478,6493,6503,6522,6527,6537,6543,6547,6554,6556,6611,6721"
24496,16093,146,"2,7,36,47,53,71,73,76,77,81,90,108,122,125,210,225,238,251,266,372,389,402,425,449,490,500,516,539,548,582,627,667,822,868,956,966,971,988,1230,1496,1510,1541,1572,1588,1619,1641,1983,2402,2548,2726,2834,2976,2990,2995,3002,3047,3080,3086,3088,3146,3166,3184,3195,3208,3211,3233,3236,3251,3266,3326,3376,3462,3474,3556,3564,3600,3617,3620,3624,3676,3724,3735,3780,3879,3920,4215,4224,4233,4244,4258,4317,4329,4334,4346,4438,4461,4495,4558,4687,4849,4864,5073,5076,5087,5109,5150,5220,5395,5489,5493,5501,5503,5524,5527,5550,5556,5582,5598,5603,5635,5659,5681,5695,5722,5744,5789,5800,5855,5933,5941,5953,5968,6153,6254,6281,7174,7178,7234,7236,7343,7625,7756,7950,8166,8173,8175"
24496,16213,138,"3,10,52,55,58,73,160,168,247,305,310,325,345,366,371,376,399,481,1061,1082,1250,1274,1309,1314,1362,1399,1497,1505,1523,1566,1581,1618,1624,1626,2393,2428,2433,2443,2464,2505,2512,2770,2775,2845,3126,3185,3194,3196,3206,3286,3297,3306,3308,3319,3322,3434,3447,3551,3554,3712,4233,4235,4296,4299,4384,4393,4460,4488,4489,4769,4770,4892,4949,5044,5176,5261,5294,5417,5465,5563,5566,5602,5694,5710,5730,5737,5980,6102,6334,6374,6439,6464,6507,6540,6544,6646,6833,6888,6907,6948,7148,7238,7414,7449,7498,7645,7759,7788,7819,7874,7889,7930,7964,8042,8144,8208,8229,8265,8267,8492,8524,8626,8657,8730,8832,8872,9195,9250,9265,9296,9362,9499,9554,9634,9697,9730,9736,9753"
24496,16059,138,"3,9,23,25,44,46,60,63,67,68,75,77,105,120,224,247,259,267,278,285,287,288,291,302,323,334,382,400,417,422,427,430,1025,1117,1123,1138,1151,1155,1271,1375,1686,1689,1725,1730,1732,1747,1758,1761,1770,1778,1801,1804,1815,1822,1825,1828,1833,1838,1851,1863,1866,1879,1883,1895,1901,1905,1917,1920,1922,1923,1939,1963,1983,2045,2058,2076,2079,2092,2094,2162,2175,2196,2199,2202,2228,2233,2242,2259,2280,2326,2336,2416,2425,2443,2450,2453,2457,2463,2467,2517,2539,2558,2567,2572,2575,2576,2579,2584,2630,2684,2687,2695,2697,2704,2709,2741,2746,2770,2782,2799,2803,2805,2892,3059,3156,3170,3175,3184,3298,3314,3325,3332,3337,3354,3357,3359,3364,3370"
24496,16847,117,"6,9,23,59,96,98,177,204,220,264,266,278,305,399,424,446,547,552,586,597,744,751,776,802,830,916,922,931,937,953,1018,1030,1051,1068,1073,1090,1116,1144,1160,1199,1253,1349,1430,1452,1464,1507,1612,1618,1840,1973,1995,2256,2282,2284,2486,2489,2490,2514,2557,2560,2570,2575,2582,2746,2783,2788,2943,2950,2975,2994,3009,3013,3041,3061,3069,3086,3117,3122,3227,3254,3290,3300,3324,3335,3343,3370,3376,3380,3413,3429,3442,3445,3477,3547,3554,3565,3575,3629,3687,3843,3882,3919,4080,4158,4216,4226,4282,4306,4397,4404,4433,4459,4632,4720,4731,4753,4814"
24496,16260,113,"4,8,10,14,44,61,71,111,137,168,177,213,219,221,240,245,253,321,362,373,421,426,439,440,447,471,493,503,505,514,518,530,569,574,582,600,603,616,628,639,657,677,697,702,725,741,744,766,769,777,780,782,786,789,795,814,821,853,860,866,872,884,896,949,964,984,990,1017,1036,1061,1072,1126,1136,1145,1188,1252,1255,1297,1352,1364,1378,1399,1419,1439,1489,1527,1545,1552,1557,1594,1638,1662,1685,1687,1689,1695,1713,1743,1763,1773,1802,1818,1822,1830,1849,1889,1892,1929,1943,1945,1950,1953,1961"
24496,473,110,"106,372,428,546,856,873,1002,1066,1089,1136,1275,1307,1733,1786,2076,2120,2122,2123,2127,2143,2160,2165,2178,2187,2200,2219,2225,2286,2291,2318,2355,2381,2425,2437,2439,2453,2525,2557,2798,2806,2815,2863,3006,3018,3025,3064,3088,3089,3124,3129,3259,3360,3373,3603,3611,3623,3637,3653,3711,3807,3968,4014,4027,4033,4062,4163,4252,4278,4377,4397,4405,4411,4426,4512,4518,4531,4547,4692,4704,5071,5089,5154,5159,5161,5238,5266,5278,5334,5340,5349,5363,5375,5402,5420,5778,6191,6212,6217,6830,7072,7137,7147,7161,7342,7576,7725,7749,7752,7761,7847"
