wordId, fileId, frequency, positions
2972,21978,293,"21,38,52,74,85,89,110,113,128,166,171,188,207,224,227,279,289,294,305,330,341,438,464,467,477,514,522,550,552,583,591,603,640,642,647,657,661,665,668,671,678,683,705,708,711,717,722,725,739,742,755,790,797,802,808,820,823,827,847,855,859,869,881,902,905,982,989,999,1035,1037,1040,1064,1070,1073,1126,1129,1158,1180,1185,1190,1195,1210,1218,1225,1261,1505,1518,1528,1535,1539,1552,1561,1563,1566,1571,1589,1595,1671,1673,1676,1754,1774,1784,1844,1876,2022,2025,2035,2038,2045,2105,2120,2125,2128,2132,2140,2150,2155,2168,2187,2257,2259,2265,2281,2287,2293,2300,2304,2322,2328,2349,2357,2365,2377,2382,2390,2406,2452,2457,2474,2478,2494,2509,2516,2519,2555,2564,2567,2572,2586,2589,2603,2606,2611,2615,2619,2623,2628,2633,2641,2683,2749,2753,2756,2759,2762,2764,2767,2773,2783,2812,2821,2832,2835,2842,2849,2920,2980,2986,2998,3011,3019,3036,3040,3043,3049,3077,3091,3151,3165,3172,3196,3207,3219,3296,3298,3302,3315,3361,3424,3453,3477,3500,3504,3509,3512,3534,3550,3601,3604,3646,3666,3694,3716,3722,3727,3735,3745,3757,3764,3775,3780,3782,3790,3796,3802,3820,3827,3843,3848,3851,3853,3869,3874,3878,3881,3900,3905,3929,3949,3968,3979,3983,3990,3995,4023,4034,4037,4075,4104,4117,4124,4136,4145,4158,4161,4175,4189,4203,4218,4224,4242,4254,4259,4267,4282,4288,4291,4306,4324,4364,4394,4426,4454,4490,4502,4514,4526,4537,4565,4577,4589,4601,4612,4639,4652,4665,4678,4690,4722,4736,4750,4797"
2972,20641,81,"43,45,46,107,183,305,373,421,430,453,508,514,586,592,634,641,697,788,858,864,874,974,984,1003,1023,2073,2121,2123,2145,2186,2511,2814,2828,2839,2867,3057,3166,3655,3680,3688,3693,3718,3724,3752,3776,3786,3804,3982,4070,4114,4125,4250,4436,4476,4633,4641,4698,4737,4742,4750,4782,4870,4905,5020,5090,5185,5215,5260,5278,5372,5580,5624,5750,5913,6015,6555,6557,6565,6570,6638,6805"
2972,21026,56,"898,901,906,909,916,919,924,927,934,10066,10069,10933,10936,10954,10957,10968,12243,12306,12316,12326,12336,12346,12359,12369,12379,12389,12399,12412,12422,12432,12442,12452,12466,12478,12490,12502,12514,12546,12558,12568,12578,12583,12586,12595,12598,12608,12611,12617,12630,12637,12650,12652,12655,12662,12676,12680"
2972,7169,54,"104,106,348,351,353,393,429,435,457,467,516,567,738,973,1067,1219,1742,2168,2962,2968,3040,3084,3114,3141,3338,3388,3573,3791,3952,4038,4041,4057,4069,4078,4093,4100,4230,4260,4930,5226,5660,5892,5903,5929,6573,6584,6606,7124,7137,7158,7169,7186,7223,7241"
2972,21036,40,"3373,3523,3666,3674,5990,5993,5999,6010,6026,6035,6042,6046,6050,6054,6058,6065,6069,6074,6083,6108,6122,6171,6175,6177,6181,6183,6187,11143,11206,11485,14035,14070,14071,14077,14078,14088,14090,14112,14121,14122"
2972,21011,32,"838,842,1399,1944,1958,1972,2155,2158,2176,3061,3063,7671,7678,7774,7781,8236,8433,8526,8646,8681,8706,8709,8734,8766,8774,8790,8793,9622,10615,11766,11784,13224"
2972,21780,29,"1,2,4,10,16,26,32,52,60,69,71,80,89,98,103,110,125,134,135,141,145,153,162,168,174,183,192,199,204"
2972,20935,20,"5354,5431,6463,6469,6477,11184,11192,11195,11208,11221,11226,11230,11245,11326,11331,11334,11340,11343,11346,11349"
2972,20937,16,"7971,7974,7991,7997,8008,8018,8023,8054,8067,8078,8086,8095,8104,8110,8124,8149"
2972,16952,15,"14565,16442,16462,16526,16550,16565,16577,16596,16638,16648,16671,16693,16734,16839,19742"
2972,13810,12,"1768,2097,2099,2101,2103,2105,2107,2109,2111,2113,2154,2171"
2972,16786,11,"242,248,4427,4432,4437,8173,8182,8191,8196,8209,8215"
2972,17205,11,"2350,2353,2357,2872,2876,2879,3056,3066,3105,3170,3186"
2972,6964,11,"128,130,135,183,2570,2576,2589,2639,2894,4509,4527"
2972,24411,11,"292,755,795,801,805,813,840,876,1030,3896,5024"
2972,9464,11,"1264,1287,1301,1304,1325,1331,1358,5734,7496,8863,11492"
2972,26250,9,"4557,4775,4807,4913,5499,6014,6151,6176,6188"
2972,1281,9,"267,272,278,290,2173,2178,2182,9266,9326"
2972,15391,7,"1870,5135,5564,6880,9463,9469,9585"
2972,5643,7,"2324,2326,2337,2339,2488,2490,2493"
