wordId, fileId, frequency, positions
7495,2180,55,"588,707,778,1781,2945,3076,4151,4162,5474,5625,5788,5866,5896,5908,5912,5919,5992,6127,6335,6362,6444,6470,6481,6520,6570,6581,6584,6592,6603,6609,6649,6660,6668,6669,6730,6749,6756,6789,6797,6804,6845,6960,6985,7008,7980,8261,8264,8379,8386,8417,8421,8430,8447,8457,8511"
7495,2850,41,"415,419,725,830,868,2942,3356,4354,4708,5232,7323,7406,7422,7431,7436,7572,7619,7623,7630,7636,7643,7661,7667,7670,7946,8761,8807,8809,8812,9017,9069,9184,9196,9198,9204,9206,9220,9223,9225,9236,9438"
7495,2514,39,"707,725,736,738,2239,2285,2288,2364,2387,2393,2531,2624,2632,2651,2743,2747,3609,3831,5434,6541,7361,8336,9435,9897,9956,10331,10334,10975,10979,10991,11126,11214,11317,13362,13951,13999,14007,14016,14322"
7495,259,32,"1069,1083,1087,8247,8500,10761,10802,11686,11700,11704,11944,11955,13304,13795,13819,13834,13890,13904,13932,13945,13947,13954,13963,13969,13977,13997,14007,14835,17740,17743,17760,17922"
7495,19526,14,"79,167,1675,2443,2621,3210,3289,3443,3946,5859,7256,7498,7554,7589"
7495,9593,13,"249,301,781,955,1141,1340,1380,2400,2539,2798,3034,3117,3409"
7495,1141,10,"80,966,979,991,1669,2175,4672,5443,5754,6076"
7495,21523,10,"857,1586,1598,2114,2576,3116,3718,4564,5416,5474"
7495,1020,10,"12513,12526,12560,12567,12584,12590,12600,12614,12623,13953"
7495,2719,10,"879,1269,1309,2587,2725,2737,4035,4581,4660,5619"
7495,25872,9,"958,966,1800,1815,1828,1830,2295,2365,2388"
7495,4162,9,"517,633,1772,3859,3911,4025,4892,5205,5552"
7495,21580,9,"9821,9825,9855,9856,9857,9858,9860,9861,9862"
7495,9469,9,"8557,9413,11684,13657,13668,19846,21318,23193,25509"
7495,21310,9,"1621,6363,9473,12021,19622,20208,24407,24921,26634"
7495,1371,9,"77,2419,2463,2798,3626,4082,4180,4819,5817"
7495,25796,8,"1347,1401,1888,1971,2102,2616,2644,2717"
7495,9866,8,"479,619,637,745,880,1557,3938,4258"
7495,2322,8,"1381,1382,1705,1823,3105,3354,4167,4348"
7495,11480,8,"60,62,8165,8167,8895,8913,10267,10271"
7495,4295,7,"212,221,9910,10506,10525,11797,12672"
7495,16844,7,"2286,6165,6192,6194,6197,6199,6203"
7495,6870,7,"84,299,584,891,3474,3493,7067"
7495,20157,7,"90,298,305,347,1559,1561,4109"
7495,5532,6,"3125,6741,7295,7311,8350,8575"
7495,2696,6,"1309,2393,4359,5004,5010,5345"
7495,22106,6,"1835,3038,5144,8815,21588,21603"
7495,4308,6,"63,4176,4400,4571,5776,6941"
7495,17702,6,"7352,7866,8470,8522,8804,11239"
7495,70,6,"4950,5024,5912,5924,5935,6648"
7495,203,6,"6476,8665,8921,19293,24139,25359"
7495,21683,6,"1047,1099,1203,1310,1706,1896"
7495,14060,6,"3754,3758,3769,3778,4094,7433"
7495,26788,6,"1572,5170,5658,5961,6984,12754"
7495,6017,5,"3041,7054,7881,7971,7986"
7495,4165,5,"72,760,966,1035,1637"
7495,2658,5,"7947,10492,10557,10746,11781"
7495,11877,5,"1697,1911,2051,2279,2314"
7495,18366,5,"2088,2502,3342,9343,9352"
7495,5307,5,"133,916,1047,1419,1431"
7495,2234,5,"6386,10119,10731,10745,11743"
7495,18484,5,"3085,3917,6311,7609,8582"
7495,2321,5,"2015,2016,3951,4695,4867"
7495,25141,5,"867,2162,2428,2916,2926"
7495,20528,5,"2878,3921,3993,4719,6305"
7495,4879,5,"920,1091,1217,1219,4231"
7495,99,5,"7925,8021,8195,9973,10044"
7495,12891,4,"1548,2263,2333,2698"
7495,25042,4,"1125,2202,3384,5208"
7495,8432,4,"503,548,1076,2669"
7495,2547,4,"786,4164,7842,8123"
7495,2661,4,"7005,7008,7015,7030"
7495,5920,4,"5136,8921,13558,13564"
7495,7865,4,"256,1465,1505,1513"
7495,7526,4,"1761,12106,12481,12496"
7495,8378,4,"3168,3225,3288,3302"
7495,15114,4,"485,2031,2033,2056"
7495,16855,4,"7160,8779,8787,8801"
7495,12941,4,"1356,5178,5364,5402"
7495,9166,4,"2722,2729,2745,5583"
7495,17573,4,"4031,4170,4271,4740"
7495,2822,4,"3338,3626,3685,3737"
7495,9413,4,"2037,4444,7790,8343"
7495,1140,4,"302,754,766,852"
7495,10783,4,"4625,8323,8332,8348"
7495,14704,4,"5967,7723,10565,10568"
7495,789,4,"783,812,906,927"
7495,18235,4,"340,355,3238,4255"
7495,21522,4,"3457,8390,9074,9320"
7495,8060,4,"9036,9049,9058,9091"
7495,26233,3,"164,444,471"
7495,20023,3,"2914,2917,2921"
7495,5034,3,"3333,3339,13247"
7495,19025,3,"2337,2400,2552"
7495,3407,3,"655,674,688"
7495,1691,3,"965,4514,4546"
7495,2390,3,"1227,1348,1352"
7495,7007,3,"3134,3145,12734"
7495,13281,3,"2360,2652,3624"
7495,7820,3,"583,6133,7538"
7495,26302,3,"4045,5019,5177"
7495,21698,3,"909,1017,1849"
7495,7093,3,"2099,2101,2556"
7495,8299,3,"9470,9474,9485"
7495,6902,3,"5423,6559,6563"
7495,13129,3,"363,374,395"
7495,2296,3,"396,1551,2259"
7495,24852,3,"7144,10500,12984"
7495,13323,3,"2279,2424,2627"
7495,10721,3,"9490,14294,14562"
7495,8263,3,"1451,1455,1457"
7495,11921,3,"296,2527,4265"
7495,4247,3,"3091,3282,3471"
7495,323,3,"273,355,497"
7495,324,3,"2984,4914,4940"
7495,10822,3,"1311,5103,5186"
7495,19338,3,"3240,5663,6114"
7495,9656,3,"512,713,1487"
7495,25288,3,"1177,1335,1375"
7495,567,3,"2888,5686,11839"
7495,19838,3,"14010,14020,14028"
7495,16671,3,"639,1015,1566"
7495,24576,3,"2791,6720,6739"
7495,25787,3,"445,2833,2845"
7495,17471,3,"2400,2416,2421"
7495,10452,3,"201,4282,5750"
7495,8702,3,"746,879,893"
7495,15567,3,"10865,11466,11497"
7495,17531,3,"240,2014,2061"
7495,16827,3,"543,8289,8677"
7495,19596,3,"1140,3416,3729"
7495,20706,3,"2069,2948,5482"
7495,20935,3,"3176,8365,12860"
7495,2405,2,"476,1489"
7495,22893,2,"256,317"
7495,24967,2,"1912,3007"
7495,24763,2,"1721,2676"
7495,22586,2,"307,676"
7495,21962,2,"554,904"
7495,21527,2,"448,454"
7495,21437,2,"1571,13633"
7495,7410,2,"6434,9415"
7495,401,2,"3077,6764"
7495,3997,2,"650,662"
7495,5362,2,"2359,2384"
7495,21986,2,"5272,6214"
7495,25653,2,"1230,1234"
7495,14613,2,"4540,4545"
7495,6036,2,"7074,8732"
7495,21014,2,"9816,9836"
7495,24853,2,"4883,4893"
7495,16282,2,"170,204"
7495,19985,2,"10601,25465"
7495,21557,2,"2363,2842"
7495,68,2,"2549,2904"
7495,8500,2,"15770,15779"
7495,6950,2,"181,3037"
7495,6284,2,"358,890"
7495,8580,2,"1812,2868"
7495,25434,2,"1444,1878"
7495,16376,2,"320,2442"
7495,175,2,"2833,3813"
7495,7886,2,"2026,2047"
7495,17173,2,"7834,12017"
7495,5646,2,"1490,1613"
7495,18623,2,"1399,1973"
7495,1818,2,"4074,8279"
7495,4313,2,"1019,1033"
7495,19118,2,"1451,1782"
7495,7271,2,"3540,8705"
7495,11792,2,"645,1040"
7495,26412,2,"289,1939"
7495,16880,2,"4337,9527"
7495,8541,2,"7141,7148"
7495,3409,2,"3884,4403"
7495,25142,2,"7618,11276"
7495,12946,2,"596,694"
7495,2471,2,"1986,10984"
7495,22703,2,"3873,5094"
7495,9025,2,"4061,12087"
7495,12136,2,"7941,9497"
