wordId, fileId, frequency, positions
24021,15993,58,"25,48,64,68,81,88,96,116,135,161,299,359,376,402,437,444,460,534,565,570,581,594,708,742,759,771,798,829,869,889,974,1028,1060,1151,1242,1309,1333,1468,1488,1499,1505,1519,1561,1585,1603,1635,1666,1802,1887,1903,1921,1927,1938,1987,3073,3160,3170,3212"
24021,3196,13,"107,840,895,1359,1370,1378,1393,1402,1411,1426,1434,1447,3089"
24021,24261,12,"1792,1935,1951,2387,2429,2474,2512,2654,2818,2833,2914,2943"
24021,13361,10,"29,55,91,184,410,434,456,499,539,671"
24021,16638,8,"138,886,1240,1353,1619,1652,3009,10134"
24021,14933,6,"706,1129,1141,1156,1169,1240"
24021,3047,5,"820,856,869,1945,3088"
24021,11711,5,"5,121,3536,4097,5212"
24021,14520,4,"21,222,767,791"
24021,213,4,"1416,2245,2312,2622"
24021,9696,3,"7,259,3122"
24021,6054,3,"681,4730,4946"
24021,4073,3,"37,701,944"
24021,21832,3,"22,693,8808"
24021,8881,3,"468,798,1993"
24021,5736,3,"8,22,10728"
24021,4668,2,"72,4829"
24021,5597,2,"15,10999"
24021,26636,2,"484,498"
24021,3105,2,"2168,2492"
24021,112,2,"781,3227"
24021,25044,2,"448,453"
24021,7095,2,"11,159"
24021,17294,2,"13,5019"
24021,15335,2,"210,221"
24021,24783,2,"3239,3310"
24021,3096,2,"623,1596"
24021,12226,2,"1656,1673"
24021,15771,2,"314,3249"
24021,10329,2,"14,634"
24021,19873,2,"2488,2546"
24021,10931,2,"126,5030"
24021,4132,2,"288,1596"
24021,5124,2,"93,211"
24021,566,1,6131
24021,12229,1,1081
24021,16778,1,1809
24021,24867,1,1225
24021,2721,1,1352
24021,20588,1,511
24021,17495,1,282
24021,17363,1,5839
24021,14657,1,253
24021,17454,1,125
24021,16276,1,981
24021,15957,1,1257
24021,16253,1,6534
24021,11848,1,79
24021,15341,1,1234
24021,22176,1,1243
24021,9011,1,25
24021,25333,1,5113
24021,325,1,1470
24021,2551,1,11771
24021,14808,1,6505
24021,1961,1,1204
24021,18900,1,783
24021,21815,1,10774
24021,11313,1,219
24021,21255,1,1591
24021,1980,1,353
24021,182,1,1430
24021,326,1,667
24021,15573,1,2302
24021,15092,1,3849
24021,1845,1,1047
24021,12227,1,269
24021,24339,1,16
24021,15625,1,260
24021,11310,1,1265
24021,12138,1,1416
24021,1417,1,193
24021,7417,1,1274
24021,4477,1,1209
24021,8051,1,1265
24021,20078,1,2698
24021,16582,1,2
24021,121,1,13
24021,11267,1,1234
24021,11477,1,1077
24021,2787,1,1239
24021,5709,1,422
24021,5578,1,3168
24021,17481,1,1633
24021,17633,1,1441
24021,2429,1,1590
24021,3863,1,2427
24021,2181,1,323
