wordId, fileId, frequency, positions
5249,22104,991,"7,16,19,24,69,79,89,111,125,143,156,159,164,171,183,186,195,198,201,204,205,206,217,218,219,231,285,290,294,301,313,319,321,329,354,356,386,395,441,451,482,495,503,505,547,557,563,567,577,608,625,643,650,656,675,739,759,762,796,855,859,985,992,1001,1004,1055,1063,1078,1131,1138,1143,1158,1169,1171,1175,1187,1207,1339,1348,1366,1376,1417,1436,1451,1472,1493,1515,1517,1544,1619,1631,1638,1644,1646,1660,1662,1672,1695,1721,1726,1729,1742,1743,1748,1756,1763,1779,1792,1812,1824,1866,1875,1888,1908,1924,1934,1938,1947,1952,1970,1974,1996,2045,2116,2119,2167,2196,2215,2229,2237,2243,2257,2295,2309,2375,2382,2424,2460,2491,2514,2585,2629,2636,2638,2642,2647,2664,2673,2675,2686,2688,2709,2721,2735,2782,2803,2814,2824,2843,2877,2882,2942,3010,3047,3066,3129,3136,3139,3142,3154,3162,3165,3172,3175,3180,3191,3194,3199,3203,3206,3209,3212,3229,3242,3249,3255,3272,3417,3427,3445,3455,3499,3528,3537,3554,3617,3621,3657,3687,3693,3704,3706,3710,3725,3736,3738,3741,3818,3825,3829,3833,3840,3855,3864,3883,3890,3892,3896,3915,3919,3936,3949,3951,3964,3971,3993,3995,4002,4011,4013,4028,4086,4107,4159,4162,4204,4209,4226,4234,4241,4263,4286,4299,4311,4326,4364,4385,4396,4406,4421,4427,4431,4439,4458,4466,4471,4477,4486,4497,4508,4512,4527,4583,4602,4615,4641,4645,4662,4684,4698,4702,4706,4714,4728,4750,4787,4789,4841,4877,4900,4906,4911,4925,4934,4936,4945,4959,4968,4977,4984,4998,5014,5035,5053,5095,5105,5114,5128,5152,5176,5183,5199,5204,5236,5262,5275,5309,5314,5325,5336,5351,5353,5361,5368,5380,5394,5409,5434,5477,5519,5618,5622,5634,5650,5654,5660,5664,5680,5692,5704,5706,5754,5760,5767,5774,5781,5798,5801,5809,5816,5823,5831,5838,5849,5855,5876,5878,5909,5921,5929,5932,5938,5953,5964,5971,5974,5981,5994,6003,6006,6014,6028,6038,6041,6043,6079,6136,6155,6493,6499,6504,6507,6520,6524,6573,6577,6608,6632,6634,6636,6638,6646,6653,6655,6659,6686,6691,6695,6705,6718,6735,6758,6770,6789,6794,6809,6815,6819,6827,6846,6853,6869,6875,6879,6888,6905,6912,6924,6926,6930,6941,6956,6962,6966,6974,6983,6988,7005,7011,7015,7032,7050,7079,7092,7103,7115,7128,7174,7186,7192,7207,7211,7224,7232,7234,7238,7247,7264,7279,7291,7296,7300,7316,7321,7338,7346,7348,7351,7362,7366,7376,7384,7390,7398,7417,7423,7427,7439,7445,7454,7457,7468,7485,7490,7495,7508,7530,7537,7586,7626,7638,7649,7726,7802,7819,7853,7868,7878,7897,7925,7934,7941,8046,8060,8074,8093,8095,8108,8115,8184,8263,8302,8358,8362,8366,8377,8535,8542,8543,8548,8552,8565,8574,8576,8594,8606,8617,8630,8639,8649,8656,8662,8674,8684,8686,8701,8707,8713,8724,8730,8732,8787,8791,8798,8806,8817,8826,8831,8840,8851,8855,8862,8865,8878,8882,8889,8890,8902,8958,8973,8983,9060,9064,9093,9176,9201,9228,9271,9287,9322,9326,9333,9346,9353,9374,9385,9407,9432,9446,9468,9519,9531,9540,9546,9566,9581,9600,9613,9617,9623,9627,9643,9647,9664,9691,9698,9711,9728,9745,9751,9768,9794,9814,9829,9834,9890,9940,9958,9962,9966,9971,9999,10030,10036,10040,10053,10061,10077,10084,10093,10110,10159,10164,10238,10279,10307,10547,10590,10625,10779,10793,10795,10814,10820,10823,10856,10892,10916,10945,10950,10964,10981,10985,10991,10994,11006,11010,11020,11042,11049,11062,11064,11081,11083,11096,11165,11254,11258,11265,11269,11281,11330,11334,11359,11368,11404,11414,11447,11450,11489,11526,11536,11544,11556,11621,11737,11761,11786,11790,11807,11863,11870,11877,11902,11912,11930,11957,11966,11989,12020,12029,12050,12067,12074,12084,12104,12116,12128,12154,12167,12173,12192,12201,12234,12246,12253,12258,12261,12281,12288,12299,12310,12318,12347,12354,12384,12410,12415,12427,12439,12444,12455,12470,12482,12505,12512,12574,12581,12586,12597,12642,12666,12691,12731,12759,12766,12854,12874,12911,12935,12938,12943,12949,12951,12968,12984,12989,12994,13024,13077,13080,13104,13125,13178,13186,13203,13223,13231,13253,13262,13266,13280,13290,13311,13316,13321,13332,13340,13370,13430,13433,13449,13455,13482,13501,13569,13586,13592,13593,13598,13605,13612,13680,13682,13694,13697,13729,13747,13752,13773,13786,13831,13847,13857,13872,13887,13892,13895,13902,13914,13917,13943,13969,13983,13987,13995,14017,14020,14046,14061,14076,14088,14191,14311,14320,14329,14349,14351,14368,14379,14392,14407,14486,14577,14591,14600,14705,14707,14714,14718,14931,14936,14947,14969,14986,15001,15015,15027,15045,15089,15277,15288,15293,15310,15315,15332,15346,15366,15858,15862,15907,15923,15927,15939,15952,16043,16050,16054,16062,16081,16083,16093,16119,16133,16153,16168,16172,16181,16284,16294,16308,16348,16364,16393,16405,16427,16441,16450,16452,16476,16498,16516,16545,16643,16672,16688,16723,16740,16743,16751,16753,16778,16780,16784,16795,16811,16833,16849,16852,16856,16866,16890,16904,16911,16933,16945,16966,16983,16997,17000,17064,17286,17303,17322,17369,17375,17431,17544,17567,17593,17658,17663,17667,17676,17740,17908,18114,18122,18146,18155,18157,18189,18233,18256,18263,18322,18325,18334,18507,18511,18540,18544,18568,18578,18656,18664,18671,18672,18696,18700,18717,18722,18729,18751,18755,18767,18770,18774,18823,18846,18883,18926,18950,18963,18971,18986,18989,18994,18997,19006,19007,19023,19031,19040,19047,19051,19055,19061,19064,19071,19079,19089,19097,19099,19104,19106,19113,19123,19130,19134,19137,19140,19146,19151,19169,19174,19182,19191,19198,19226,19231,19238,19319,19336,19338,19343,19348,19352,19353,19357,19388"
5249,6363,122,"20,23,81,84,108,110,118,120,127,132,141,153,174,191,202,219,227,235,243,267,296,344,357,366,377,486,490,521,539,563,571,576,602,608,610,616,630,632,643,650,668,673,681,805,820,836,852,870,889,905,913,916,937,1007,1047,1053,1062,1067,1072,1110,1158,1167,1177,1189,1196,1206,1275,1280,1282,1298,1314,1329,1348,1353,1366,1384,1390,1395,1397,1403,1415,1426,1428,1439,1442,1450,1461,1470,1477,1481,1494,1502,1539,1544,1585,1591,1603,1631,1636,1658,1665,1671,1673,1687,1689,1699,1714,1721,1729,1730,1733,1743,1753,1763,1768,1773,1785,1791,1794,1836,1873,1877"
5249,9524,119,"171,330,457,1238,1250,1256,1277,1284,1289,2380,2717,2719,2725,2839,2855,2963,2966,2981,2984,3065,3175,3349,3355,3407,3614,3620,3779,3817,3822,3908,4099,4201,4285,4654,4658,4665,4689,4832,4962,5058,5069,5302,5324,5335,5597,5681,5690,5808,5849,6516,6615,6695,6762,6768,6789,6810,6840,6843,6848,6915,7022,7089,7095,7099,7105,7217,7383,7501,7506,7531,7551,7572,7581,7764,7771,7778,7795,8172,8236,8260,8325,8328,8597,8814,9085,9344,9383,9386,9389,9408,9481,9485,9496,9500,9502,9563,9598,9604,9667,9721,9741,9846,9853,9893,9938,9940,9966,9972,10315,10317,10318,10328,10407,10413,10435,10449,10460,10472,10713"
5249,24543,66,"58,61,78,348,350,365,668,756,759,805,825,850,948,964,971,1002,1014,1021,1187,1228,1293,1467,1782,1796,1801,2194,2211,2237,2269,2323,2355,2371,2479,2521,3458,3889,3962,4739,4771,4842,4951,5060,5068,5180,5188,5192,5196,5246,5639,5644,6013,6046,6077,6245,6259,6276,6282,6289,6305,6625,6687,6765,7071,7112,7123,7162"
5249,14216,61,"326,346,439,447,2025,2045,2152,2169,2243,2260,2348,2365,2420,2437,2482,2499,2593,2610,2687,2704,2761,2778,2830,2847,2919,2936,3016,3033,3298,3316,3389,3407,3452,3469,3515,3533,3652,3669,3714,3731,3789,3806,3906,3924,3979,3997,4052,4069,4124,4141,6522,6549,6603,6619,6666,6673,6700,7385,7404,8272,8279"
5249,4129,47,"712,714,788,1026,1066,1068,1086,1138,1566,1644,1658,1660,1671,1679,1684,1695,1703,1708,1723,1752,1849,1880,2120,2250,2646,2649,2677,2698,2866,2870,2890,2904,2920,3286,4607,4914,4917,4933,6630,6739,6741,7936,8276,8280,8283,8313,12164"
5249,14050,30,"52,1090,8323,8376,8464,8478,8481,8556,8564,8570,8582,8584,8601,8604,8614,8645,8650,8657,8694,8706,8718,8731,8752,8758,8771,8822,8835,8858,8862,9270"
5249,21713,24,"304,398,400,567,627,634,729,803,1223,1674,6526,6564,6600,6768,6993,9178,10358,10510,11076,11213,11230,11243,11984,11989"
5249,7961,24,"45,308,562,794,892,933,949,978,1407,2108,2841,2844,2854,2878,4079,4086,4094,4523,4529,4530,4539,5023,5029,5737"
5249,10455,23,"31,195,643,654,669,693,701,715,726,730,748,752,768,842,876,934,1324,1350,1357,1708,1851,1949,1970"
