wordId, fileId, frequency, positions
63308,21491,8,"2572,2575,2728,6203,6232,8813,8816,17253"
63308,22254,7,"3504,4656,4657,4671,4701,4702,5853"
63308,11189,5,"336,338,357,982,991"
63308,634,4,"2802,4987,5025,6592"
63308,3518,4,"1986,2055,2081,9371"
63308,5461,4,"1649,1692,3868,4126"
63308,16822,4,"866,4632,20181,20186"
63308,22250,3,"478,518,536"
63308,19618,3,"7770,8347,17643"
63308,3050,3,"9707,9958,10940"
63308,18124,3,"5227,5366,5368"
63308,13232,3,"7856,12875,12878"
63308,21563,3,"7392,7417,7428"
63308,17690,3,"1349,1358,1371"
63308,3153,3,"43,1788,3333"
63308,24749,3,"1503,1510,1528"
63308,24706,2,"1074,5770"
63308,21522,2,"9359,9372"
63308,15931,2,"6949,6951"
63308,5216,2,"2588,2599"
63308,22386,2,"2724,5864"
63308,8388,2,"5987,6018"
63308,11379,2,"3567,13257"
63308,5451,2,"6923,6938"
63308,4376,2,"315,326"
63308,3481,2,"11357,11360"
63308,24429,2,"2080,2087"
63308,9471,2,"2228,2239"
63308,12541,2,"7500,7557"
63308,3096,2,"1495,2425"
63308,24816,2,"4890,5031"
63308,8113,2,"8629,8636"
63308,12251,2,"6490,6491"
63308,12405,2,"2204,2273"
63308,17116,2,"2875,2878"
63308,15534,2,"1638,7343"
63308,18593,2,"1068,1071"
63308,13382,2,"4582,4604"
63308,14760,2,"4189,4194"
63308,26846,2,"1317,3231"
63308,16713,2,"1058,1134"
63308,16341,2,"1596,1653"
63308,17558,2,"2943,2951"
63308,18720,2,"3008,3014"
63308,19615,2,"174,3207"
63308,25692,1,4830
63308,25036,1,1851
63308,22445,1,4308
63308,22229,1,2613
63308,22054,1,4314
63308,21113,1,455
63308,20157,1,1155
63308,20197,1,10735
63308,18769,1,2010
63308,5124,1,11323
63308,6131,1,1503
63308,5127,1,2481
63308,5050,1,8860
63308,16587,1,5257
63308,5532,1,4832
63308,24408,1,230
63308,26002,1,3823
63308,7210,1,5233
63308,19587,1,1684
63308,7007,1,5873
63308,25043,1,452
63308,11857,1,7939
63308,18852,1,1832
63308,1615,1,9830
63308,17274,1,2974
63308,14515,1,4648
63308,19616,1,5111
63308,10332,1,2750
63308,22446,1,7077
63308,11496,1,2187
63308,2493,1,566
63308,17084,1,139
63308,1878,1,228
63308,12557,1,298
63308,11279,1,7974
63308,327,1,4340
63308,5597,1,10329
63308,24751,1,852
63308,7393,1,2704
63308,14997,1,5177
63308,22343,1,867
63308,24192,1,4031
63308,19996,1,6919
63308,281,1,6057
63308,9266,1,12026
63308,20432,1,445
63308,9642,1,3559
63308,970,1,729
63308,8846,1,13323
63308,8989,1,6206
63308,6253,1,2644
63308,16552,1,539
63308,1186,1,9093
63308,3354,1,1951
63308,22104,1,959
63308,12701,1,1115
63308,22483,1,2630
63308,10874,1,984
63308,8099,1,3679
63308,10810,1,5637
63308,1333,1,3663
63308,8929,1,5015
63308,3930,1,3870
63308,11570,1,3139
63308,1453,1,773
63308,17764,1,8075
63308,9784,1,3322
63308,20306,1,5345
63308,4025,1,4414
63308,6028,1,4817
63308,16439,1,5670
63308,22065,1,5240
63308,18738,1,3128
63308,3631,1,12720
63308,2648,1,5335
63308,11992,1,1971
63308,2594,1,7845
63308,6948,1,2961
63308,24600,1,5204
63308,22359,1,7661
63308,5289,1,3903
63308,12581,1,14285
63308,21747,1,9155
63308,5815,1,1235
63308,11694,1,2308
63308,12677,1,1083
63308,20084,1,1759
63308,16463,1,2262
63308,13767,1,3908
63308,16946,1,913
63308,15101,1,1616
63308,15307,1,9281
63308,8327,1,1896
63308,7036,1,2554
63308,16190,1,2605
63308,19930,1,1677
63308,2549,1,1996
63308,21414,1,819
63308,16842,1,3544
63308,17032,1,5219
63308,14091,1,3242
63308,22317,1,357
63308,18333,1,800
63308,14706,1,14681
