wordId, fileId, frequency, positions
81084,11641,7,"7603,7605,7608,7677,7736,7751,7753"
81084,1187,6,"1357,1386,1404,1413,1419,1434"
81084,409,5,"11966,11978,11983,11988,12005"
81084,10033,3,"4382,4583,4623"
81084,11085,3,"10380,10397,10415"
81084,22542,2,"6803,6854"
81084,22481,2,"1048,1249"
81084,14491,2,"4400,4419"
81084,14972,2,"16641,21313"
81084,20235,2,"1515,1518"
81084,20084,2,"3433,3447"
81084,17489,1,4561
81084,13090,1,1130
81084,2263,1,4334
81084,11492,1,3630
81084,12493,1,11002
81084,10076,1,3520
