wordId, fileId, frequency, positions
2022,17255,519,"13,46,118,149,168,212,218,226,279,340,379,448,458,497,582,600,652,663,675,686,695,698,707,896,916,923,932,939,950,968,1123,1141,1163,1177,1684,1747,1757,1775,1797,1808,1824,1833,1854,1887,1893,1896,1912,1924,1936,1958,1968,1979,1997,2008,2030,2039,2041,2084,2105,2120,2158,2184,2194,2233,2273,2282,2306,2315,2322,2347,2361,2371,2391,2409,2415,2463,2472,2489,2496,2508,2535,2645,2658,2683,2722,2746,2837,2846,2859,2878,2891,2909,2921,2931,2950,2978,3010,3056,3068,3087,3113,3119,3174,3191,3202,3228,3357,3363,3376,3383,3571,3664,3717,3722,3859,3864,3913,3929,3940,3991,4005,4024,4034,4040,4107,4185,4229,4255,4263,4268,4382,4468,4485,4512,4529,4532,4560,4678,4682,4738,4835,4868,4948,4951,4954,4963,4991,5026,5032,5047,5058,5097,5131,5140,5158,5216,5438,5450,5519,5598,5639,5671,5694,5700,5779,5880,5909,5957,6056,6102,6183,6187,6203,6561,6567,6629,6645,6731,6750,6760,6770,6777,6799,6811,6829,6872,6917,6959,7002,7018,7044,7051,7069,7083,7095,7104,7115,7133,7144,7149,7239,7251,7259,7281,7294,7312,7324,7386,7439,7448,7463,7471,7488,7558,7570,7590,7632,7660,7670,7691,7700,7717,7725,7744,7752,7768,7774,7779,7785,7797,7813,7834,7844,7875,7904,7914,7938,7997,8007,8034,8046,8064,8072,8088,8096,8227,8232,8247,8254,8270,8289,8337,8383,8399,8431,8442,8448,8464,8505,8561,8616,8649,8692,8706,8712,8722,8727,8777,8783,8786,8823,8942,9012,9030,9037,9062,9084,9106,9113,9128,9171,9181,9196,9217,9226,9239,9248,9254,9267,9274,9288,9335,9346,9353,9421,9433,9444,9464,9480,9550,9585,9629,9643,9650,9671,9711,9721,9745,9769,9776,9791,9821,9894,9909,9922,9998,10031,10039,10075,10140,10330,10334,10370,10396,10411,10426,10438,10460,10465,10557,10577,10617,10631,10653,10686,10695,10774,10813,10841,10848,10906,10929,10944,10951,10984,11007,11021,11032,11053,11056,11091,11105,11117,11131,11134,11140,11160,11213,11228,11240,11255,11276,11285,11293,11331,11340,11362,11381,11387,11403,11410,11433,11441,11461,11473,11485,11555,11563,11615,11627,11640,11647,11656,11673,11682,11692,11727,11734,11749,11755,11768,11774,11787,11799,11806,11814,11838,11849,11856,11885,11936,11945,11954,11974,11985,12010,12045,12050,12064,12087,12099,12132,12152,12170,12193,12199,12289,12318,12341,12385,12409,12418,12424,12517,12546,12563,12577,12641,12675,12683,12707,12780,12792,12880,13200,13205,13513,13526,13540,13566,13586,13600,13618,13654,13750,13761,13901,13926,13943,13963,13976,14139,14150,14232,14238,14253,14317,14468,14477,14588,14664,14754,14779,14795,14837,14870,14901,14919,14978,14983,15019,15045,15101,15118,15120,15189,15234,15288,15300,15311,15348,15352,15370,15402,15435,15447,15470,15634,15675,15769,15807,16116,16205,16221,16274,16341,16379,16536,16541,16571,16600,16620,16639,16666,16790,16876,16941,16987,17080,17140,17469,17570,17606,17684,17699,17749,17758,17777,17780"
2022,8166,309,"8,12,31,48,181,208,212,230,298,315,330,341,361,504,518,530,588,641,675,684,689,707,768,771,814,834,841,869,917,932,981,1013,1048,1070,1106,1210,1255,1264,1280,1296,1310,1317,1374,1377,1390,1438,1442,1632,1650,1674,1677,1711,1779,1786,1810,1833,1875,1920,2048,2127,2130,2142,2150,2239,2245,2293,2312,2359,2365,2393,2574,2577,2594,2623,2630,2636,2644,2652,2664,2678,2689,2714,2721,2768,2820,3006,3009,3022,3221,3496,3531,3567,3598,3604,3609,3611,3629,3698,3779,3797,3833,3970,3994,4119,4171,4215,4216,4242,4260,4296,4339,4441,4448,4467,4476,4490,4562,4575,4599,4654,4675,4704,4807,4936,4962,5003,5006,5047,5049,5064,5075,5145,5166,5218,5274,5298,5389,5404,5408,5431,5448,5467,5516,5615,5654,5677,5690,5703,5719,5741,5755,5784,5848,5865,5888,5896,5928,5935,6014,6020,6036,6059,6075,6119,6184,6424,6434,6459,6465,6505,6621,6631,6667,6718,6749,6814,6833,6852,6881,6963,7033,7075,7127,7150,7245,7308,7325,7344,7366,7376,7394,7515,7539,7629,7642,7670,7697,7703,7720,7730,7746,7761,7767,7783,7837,7877,7898,7908,8019,8026,8057,8064,8079,8094,8100,8118,8135,8150,8155,8187,8191,8285,8370,8387,8404,8426,8469,8475,8503,8511,8535,8594,8617,8625,8753,8763,8783,8975,9364,9408,9436,9457,9470,9476,9589,9610,9624,9688,9697,9718,9728,9732,9759,9782,9813,9817,9863,9926,10204,10223,10252,10263,10277,10282,10322,10331,10359,10372,10452,10577,10635,10645,10659,10711,10805,10819,10883,10972,10997,11006,11018,11033,11068,11114,11185,11200,11347,11396,11429,11441,11457,11469,11482,11493,11497,11500,11503,11534,11583,11607,11650,11654,11708,11763,11786,11809,11813,11830,11833"
2022,3477,276,"2,6,15,27,31,56,85,113,169,238,283,312,331,390,416,419,453,529,620,677,705,770,771,892,939,963,978,1044,1061,1066,1114,1119,1157,1175,1198,1248,1296,1318,1362,1377,1435,1440,1444,1453,1473,1496,1543,1553,1567,1570,1572,1582,1610,1660,1671,1688,1690,1697,1703,1707,1710,1713,1716,1718,1722,1730,1737,1739,1750,1754,1768,1784,1788,1791,1829,1831,1855,1880,1923,1939,2041,2103,2115,2270,2285,2381,2385,2401,2443,2448,2450,2452,2459,2462,2493,2518,2554,2631,2660,2688,2784,2822,2849,2877,2905,2959,2998,3028,3066,3098,3160,3172,3194,3224,3252,3257,3309,3320,3343,3464,3499,3510,3525,3583,3592,3608,3682,3701,3704,3719,3722,3758,3786,3877,3927,3987,4008,4010,4023,4024,4216,4220,4252,4366,4391,4409,4463,4467,4538,4572,4773,4795,4814,4943,5014,5164,5290,5320,5355,5370,5377,5627,5662,5693,5731,5781,5799,5824,5870,5962,5969,6053,6178,6290,6294,6321,6347,6366,6392,6510,6578,6679,6724,6894,6931,6975,7140,7184,7207,7344,7580,7677,7698,7748,7755,7774,7808,7870,7936,7953,7977,7988,8003,8079,8118,8153,8216,8235,8364,8503,8507,8759,8792,8831,8967,8970,8978,8986,9064,9069,9073,9105,9122,9190,9230,9265,9268,9293,9298,9314,9333,9361,9471,9532,9537,9554,9558,9568,9584,9592,9646,9762,9764,9770,9878,9938,10137,10178,10413,10446,10469,10501,10529,10597,10600,10614,10635,10813,10853,10856,10969,11052,11065,11138,11148,11276,11290,11324,11343,11385,11398,11405,11451,11460,11469,11473"
2022,19454,180,"8,28,40,42,44,46,48,50,56,61,64,66,69,74,76,78,80,86,88,92,96,101,109,113,115,117,121,123,127,132,142,145,147,149,152,155,159,163,165,167,170,172,174,177,183,188,192,200,202,204,209,212,218,223,225,227,230,232,235,238,242,248,250,252,254,258,261,264,268,273,275,280,290,292,295,303,305,309,311,314,323,325,327,334,337,341,344,347,349,351,353,355,357,362,366,369,371,373,376,378,380,383,386,389,392,395,397,400,414,418,421,424,427,431,433,436,438,441,444,446,449,452,454,458,460,463,465,467,472,474,476,479,481,483,490,497,502,504,506,520,522,524,527,529,531,534,536,538,540,542,549,554,558,560,563,567,572,579,581,583,585,587,590,592,593,595,602,604,607,611,613,617,620,623,625,633,635,638,648,650"
2022,17220,177,"2,19,22,25,54,60,82,91,106,126,239,254,261,265,268,276,286,303,322,335,366,393,407,418,428,497,506,572,592,621,658,698,720,732,742,751,938,948,1048,1088,1116,1128,1202,1221,1237,1240,1252,1290,1486,1547,1628,1669,1837,1843,1911,1994,2057,2255,2318,2593,2752,2828,2844,2929,2939,2947,3010,3103,3126,3131,3186,3224,3302,3356,3375,3377,3502,3509,3513,3623,3676,3728,3776,3854,4464,4468,4476,4478,4534,4540,4548,4553,4562,4623,4629,4805,4865,4901,5009,5043,5046,5071,5114,5139,5166,5184,5273,5412,5517,5521,5564,5607,5732,5737,5755,5845,5975,5991,5996,6026,6099,6176,6362,6365,6367,6369,6465,6468,6470,6516,6618,6818,6851,7204,7249,7260,7287,7322,7325,7327,7329,7331,7336,7388,7412,7460,7680,7683,7712,7722,7881,7884,7959,8129,8171,8194,8235,8240,8245,8267,8300,8332,8335,8344,8360,8411,8425,8437,8497,8502,8512,8521,8548,8595,8606,8656,8685"
2022,16318,169,"13,17,19,38,40,154,339,344,368,373,460,506,508,518,778,945,948,970,1054,1097,1661,1664,2307,2539,3141,3178,3237,3340,3373,3384,3406,3419,3428,3442,3451,3481,3486,3489,3505,3515,3518,3536,3539,3544,3546,3553,3560,3578,3579,3583,3594,3739,3936,3949,3966,4040,4046,4048,4069,4080,4083,4144,4200,4238,4240,4271,4287,4404,4407,4454,4585,4624,4664,4666,4677,4715,4722,4724,4726,4752,4806,4817,4859,4862,4865,5076,5083,5084,5092,5095,5105,5112,5162,5169,5171,5178,5187,5196,5281,5293,5346,5350,5373,5375,5377,5379,5381,5407,5427,5439,5458,5743,6069,6119,6189,6356,6374,6381,6383,6384,6395,6398,6426,6529,6539,6668,6676,6925,6949,7006,7032,7037,7158,7160,7211,7287,7438,7580,7593,7606,7634,7644,7776,8078,8207,8279,8296,8822,8857,8861,8873,8918,9000,9039,9094,9110,9123,9177,9191,9277,9427,9808,9824,9941,9976,9988,10057,10062,10082"
2022,15672,160,"11,18,57,169,203,271,314,329,394,425,461,470,526,553,649,653,682,705,871,890,907,917,952,961,964,992,995,998,1015,1026,1074,1117,1160,1224,1229,1234,1243,1256,1287,1294,1308,1364,1371,1386,1432,1487,1666,1737,1752,1816,1841,1866,1876,1882,1886,1895,1938,1942,1952,1955,2000,2004,2034,2066,2095,2139,2165,2222,2243,2267,2274,2283,2330,2402,2453,2483,2509,2561,2569,2577,2588,2628,2776,2872,2912,2934,2956,2974,2987,2991,3036,3061,3121,3163,3282,3358,3424,3442,3474,3498,3539,3674,3707,3734,3744,3885,3931,3966,3972,3981,3994,4038,4041,4074,4088,4101,4270,4417,4425,4442,4459,4464,4507,4556,4568,4571,4597,4636,4653,4655,4677,4684,4721,4754,4756,4789,4826,4877,4956,5002,5029,5034,5116,5138,5252,5280,5334,5342,5365,5376,5382,5509,5513,5524,5539,5548,5551,5587,5596,5606"
2022,928,120,"55,126,184,195,232,259,265,435,508,517,693,868,958,1075,1081,1100,1139,1430,1640,1989,2208,2232,2238,2718,2721,2772,2777,2840,2856,3594,3671,3722,3739,3788,3916,3935,3948,4005,4011,4050,4067,4078,4275,4422,4452,4481,4487,4542,4643,4648,4672,4685,4689,4763,4948,5065,5379,5438,5468,5479,5524,5544,5547,5580,5583,5596,5604,5613,5618,5684,5726,5791,5823,5833,5852,6088,6107,6111,6114,6117,6126,6207,6230,6370,6379,6388,6448,6455,6493,6499,6969,7069,7120,7181,7189,7205,7474,7512,8581,8656,8683,9141,10036,10516,11624,12080,12239,13390,13413,13502,13867,14049,14119,14121,14181,14202,14295,14404,14658,14732"
2022,4745,87,"114,166,338,405,799,803,879,881,2019,2107,2248,2250,2706,2821,2847,3038,3167,3449,3508,3511,3514,3594,3599,3691,3848,3995,4386,4529,4674,4699,4717,4922,5297,5572,5590,5627,5646,5672,5733,5840,6018,6029,6068,6085,6088,6194,6251,6323,6365,6384,6481,6484,6511,6529,6537,6594,6638,6663,6697,6711,6721,6774,6901,7092,7195,7387,7851,7869,8033,8049,8172,8205,8341,8383,8418,8439,8778,8781,8796,8987,9300,10553,10948,11515,12299,12926,13011"
2022,5174,70,"142,536,1919,1952,3590,4855,4858,5143,5273,5280,5402,5419,5509,5658,5663,5765,5786,5940,5974,5977,5982,5984,6044,6062,6091,6116,6134,6151,6157,6164,6177,6218,6249,6374,7865,8147,8264,8266,8294,8319,8381,8441,8479,8550,8573,8662,8681,8719,8825,9207,9210,9227,9250,9275,9302,9395,9406,9894,10037,13746,13749,13756,14026,14058,14061,14071,14074,14091,14099,14273"
