wordId, fileId, frequency, positions
37948,6254,11,"53,3127,3152,3176,3182,3203,3260,8552,9512,9524,9842"
37948,21772,9,"163,2029,2101,2103,2127,2447,2550,7620,8110"
37948,21014,4,"2446,2516,2616,2841"
37948,12578,3,"435,439,462"
37948,979,2,"5831,5837"
37948,13935,2,"9228,9430"
37948,20152,2,"283,1923"
37948,22405,2,"419,423"
37948,14046,1,386
37948,5040,1,2111
37948,17674,1,1199
37948,175,1,847
37948,26666,1,1645
37948,10150,1,1373
37948,10092,1,2930
37948,21885,1,1664
37948,13272,1,4886
37948,8846,1,1849
37948,3676,1,477
37948,22585,1,249
37948,2591,1,5212
37948,2706,1,974
37948,6036,1,5076
37948,2235,1,816
37948,11385,1,5093
