wordId, fileId, frequency, positions
69187,15502,166,"13,18,84,105,124,139,158,161,164,220,229,244,273,300,309,366,451,467,522,532,600,647,660,665,912,959,1035,1054,1060,1072,1080,1089,1112,1157,1164,1179,1192,1201,1238,1254,1260,1265,1270,1302,1315,1319,1327,1365,1388,1409,1433,1473,1479,1494,1519,1546,1553,1597,1613,1623,1634,1646,1659,1670,1676,1700,1708,1725,1741,1744,1750,1768,1823,1848,1870,1876,1885,1956,1995,1998,2063,2083,2131,2157,2169,2186,2200,2209,2217,2239,2271,2280,2297,2368,2391,2426,2478,2494,2502,2505,2523,2529,2534,2551,2567,2580,2595,2600,2618,2622,2638,2652,2657,2673,2691,2726,2737,2762,2767,2784,2792,2812,2817,2847,2906,2927,2936,2958,2973,2983,3003,3015,3047,3058,3062,3069,3118,3169,3176,3195,3233,3247,3253,3281,3304,3306,3353,3397,3404,3456,3474,3523,3563,3615,3632,3645,3652,3672,3690,3705,3708,3712,3718,3778,3781,3801"
69187,14983,5,"633,710,900,961,967"
69187,12560,4,"23,27,28,42"
69187,16250,3,"1071,1085,1089"
69187,5933,3,"2420,5060,5288"
69187,14902,2,"1165,8367"
69187,9025,2,"11506,11523"
69187,651,2,"6052,8038"
69187,13420,1,606
69187,24356,1,2228
69187,4459,1,8535
69187,16664,1,159
69187,11631,1,8772
69187,4204,1,915
69187,19770,1,3254
69187,13768,1,873
69187,10265,1,3067
69187,337,1,1810
69187,13242,1,2891
69187,16741,1,12130
69187,24497,1,1551
69187,716,1,1179
69187,1478,1,692
